trial,objective,eval_metric,eta,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,seed,cv_rmse,best_rounds
1,reg:squarederror,rmse,0.01,3,0.8,0.7,1.0,0.1,0.0,42,22.053290051357617,305
2,reg:squarederror,rmse,0.01,5,0.9,0.6,0.5,0.0,0.1,42,22.29906545497017,244
3,reg:squarederror,rmse,0.03,5,0.6,0.7,5.0,0.1,1.0,42,22.393946733816907,102
4,reg:squarederror,rmse,0.05,3,0.7,0.9,2.0,0.5,0.1,42,22.165986430719975,57
5,reg:squarederror,rmse,0.03,4,0.6,0.6,5.0,0.0,0.5,42,22.234080263383646,137
6,reg:squarederror,rmse,0.05,5,0.8,0.6,5.0,0.0,1.0,42,22.455271408286908,48
7,reg:squarederror,rmse,0.01,5,0.8,0.8,1.0,0.0,0.0,42,22.130563067884417,216
8,reg:squarederror,rmse,0.03,4,0.6,0.7,0.5,1.0,0.5,42,22.241421382833096,80
9,reg:squarederror,rmse,0.08,5,0.8,0.7,2.0,0.5,0.1,42,22.157840148608926,42
10,reg:squarederror,rmse,0.05,5,0.6,0.7,1.0,0.1,1.0,42,22.370027980433736,45
11,reg:squarederror,rmse,0.08,4,0.7,0.8,0.5,0.1,0.0,42,22.11494533099115,27
12,reg:squarederror,rmse,0.05,4,0.8,0.6,1.0,0.5,0.1,42,22.16222658695795,56
13,reg:squarederror,rmse,0.08,4,0.9,0.7,2.0,0.1,0.1,42,22.132181603569048,36
14,reg:squarederror,rmse,0.05,5,0.9,0.9,2.0,0.1,0.1,42,22.24640756273877,47
15,reg:squarederror,rmse,0.08,3,0.6,0.6,1.0,0.1,1.0,42,22.075718131930472,45
16,reg:squarederror,rmse,0.01,4,0.9,0.9,2.0,0.0,0.0,42,22.13027370129659,253
17,reg:squarederror,rmse,0.05,5,0.8,0.6,2.0,1.0,0.1,42,22.340172693500882,61
18,reg:squarederror,rmse,0.08,3,0.8,0.7,0.5,0.5,0.1,42,22.167987233537737,47
19,reg:squarederror,rmse,0.03,4,0.7,0.6,2.0,1.0,0.0,42,22.347949876073727,126
20,reg:squarederror,rmse,0.01,4,0.8,0.7,0.5,0.1,0.0,42,22.16501738764835,270
21,reg:squarederror,rmse,0.01,5,0.9,0.6,1.0,0.1,1.0,42,22.33306060354179,243
22,reg:squarederror,rmse,0.03,4,0.9,0.7,1.0,0.5,1.0,42,22.153424762139814,82
23,reg:squarederror,rmse,0.05,4,0.9,0.6,1.0,0.1,0.0,42,22.066767647008096,56
24,reg:squarederror,rmse,0.05,3,0.7,0.7,0.5,0.0,0.0,42,22.239509155224162,61
25,reg:squarederror,rmse,0.03,3,0.6,0.8,0.5,0.1,0.5,42,22.15188612450746,82
26,reg:squarederror,rmse,0.08,3,0.7,0.9,1.0,1.0,1.0,42,22.193258597542318,42
27,reg:squarederror,rmse,0.03,3,0.6,0.9,2.0,1.0,1.0,42,22.14198636231456,85
28,reg:squarederror,rmse,0.08,5,0.6,0.6,0.5,1.0,0.5,42,22.35915462422347,24
29,reg:squarederror,rmse,0.01,3,0.7,0.7,5.0,0.1,1.0,42,22.158816482354432,362
30,reg:squarederror,rmse,0.03,4,0.9,0.7,0.5,1.0,0.0,42,22.164850356376252,80
