Pos.,No.,Driver,Team,Q1,Q2,Q3,Laps
1,4,LandoNorrisNOR,McLaren,1:55.473,1:51.379,1:47.934,25
2,1,MaxVerstappenVER,Red Bull Racing,1:53.458,1:51.593,1:48.257,24
3,55,CarlosSainzSAI,Williams,1:54.873,1:51.144,1:48.296,24
4,63,GeorgeRussellRUS,Mercedes,1:53.144,1:50.935,1:48.803,25
5,81,OscarPiastriPIA,McLaren,1:54.544,1:52.126,1:48.961,23
6,30,LiamLawsonLAW,Racing Bulls,1:54.828,1:51.621,1:49.062,25
7,14,FernandoAlonsoALO,Aston Martin,1:53.739,1:51.865,1:49.466,25
8,6,IsackHadjarHAD,Racing Bulls,1:55.613,1:51.120,1:49.554,25
9,16,CharlesLeclercLEC,Ferrari,1:54.814,1:51.952,1:49.872,24
10,10,PierreGaslyGAS,Alpine,1:54.432,1:51.760,1:51.540,25
11,27,NicoHulkenbergHUL,Kick Sauber,1:54.555,1:52.781,,18
12,18,LanceStrollSTR,Aston Martin,1:54.416,1:52.850,,18
13,31,EstebanOconOCO,Haas F1 Team,1:54.635,1:52.987,,17
14,87,OliverBearmanBEA,Haas F1 Team,1:56.016,1:53.094,,17
15,43,FrancoColapintoCOL,Alpine,1:54.847,1:53.683,,17
16,23,AlexanderAlbonALB,Williams,1:56.220,,,8
17,12,KimiAntonelliANT,Mercedes,1:56.314,,,8
18,5,GabrielBortoletoBOR,Kick Sauber,1:56.674,,,9
19,22,YukiTsunodaTSU,Red Bull Racing,1:56.798,,,9
20,44,LewisHamiltonHAM,Ferrari,1:57.115,,,9
